,,0,1,2,3
Equity_x,std,7.556267870025485e-09,45084653.381941035,2557221.766978818,8632324.896990778
Equity_x,min,9543789.509803921,363708.0,13569.0,670917.0
Equity_x,25%,9543789.509803921,2145798.5,468681.25,1000000.0
Equity_x,50%,9543789.509803921,4716504.0,633746.0,4105000.0
Equity_x,75%,9543789.509803921,9674346.5,3982271.0,9543789.509803921
Equity_x,max,9543789.509803921,272000000.0,8845413.0,32183806.0
TotalCapitalization_x,count,36.0,47.0,42.0,17.0
TotalCapitalization_x,unique,,,,
TotalCapitalization_x,top,,,,
TotalCapitalization_x,freq,,,,
TotalCapitalization_x,mean,28900843.990566023,45212696.97872341,11161843.07142857,27629135.05882353
TotalCapitalization_x,std,1.511253574005097e-08,101874874.83562832,9317931.235678887,46388737.75279716
TotalCapitalization_x,min,28900843.990566038,1653974.0,365569.0,1758417.0
TotalCapitalization_x,25%,28900843.990566038,6815075.0,5192520.0,5100000.0
TotalCapitalization_x,50%,28900843.990566038,14668962.0,6582299.5,11050000.0
TotalCapitalization_x,75%,28900843.990566038,34095868.0,16403592.25,22906000.0
TotalCapitalization_x,max,28900843.990566038,597397000.0,36865000.0,184237344.0
EMInvestment_x,count,36.0,47.0,42.0,17.0
EMInvestment_x,unique,,,,
EMInvestment_x,top,,,,
EMInvestment_x,freq,,,,
EMInvestment_x,mean,1535012.8600823039,1172521.2765957448,1819238.0952380951,1954764.705882353
EMInvestment_x,std,152978.46871839685,1064547.8925931053,1196482.3403245357,1860386.8055263322
EMInvestment_x,min,702500.0,57000.0,100000.0,131000.0
EMInvestment_x,25%,1549351.851851852,500000.0,987250.0,470000.0
EMInvestment_x,50%,1549351.851851852,750000.0,1450000.0,1500000.0
EMInvestment_x,75%,1549351.851851852,1757500.0,2425000.0,2300000.0
EMInvestment_x,max,1880000.0,6170000.0,5000000.0,6425000.0
Deal Leverage % @ Closing_x,count,36.0,47.0,42.0,17.0
Deal Leverage % @ Closing_x,unique,,,,
Deal Leverage % @ Closing_x,top,,,,
Deal Leverage % @ Closing_x,freq,,,,
Deal Leverage % @ Closing_x,mean,0.7476415094339622,0.6717021276595744,0.821904761904762,0.7741176470588236
Deal Leverage % @ Closing_x,std,3.3779149666542494e-16,0.11318163833521858,0.12141921122631283,0.2497263207876127
Deal Leverage % @ Closing_x,min,0.7476415094339626,0.27,0.37,0.0
Deal Leverage % @ Closing_x,25%,0.7476415094339626,0.62,0.7925,0.64
Deal Leverage % @ Closing_x,50%,0.7476415094339626,0.66,0.84,0.82
Deal Leverage % @ Closing_x,75%,0.7476415094339626,0.725,0.91,0.95
Deal Leverage % @ Closing_x,max,0.7476415094339626,0.94,0.99,1.0
EM Last $ Exposure @ Closing_x,count,36.0,47.0,42.0,17.0
EM Last $ Exposure @ Closing_x,unique,,,,
EM Last $ Exposure @ Closing_x,top,,,,
EM Last $ Exposure @ Closing_x,freq,,,,
EM Last $ Exposure @ Closing_x,mean,0.8415384615384617,1.0,0.7647985347985349,0.5930316742081447
EM Last $ Exposure @ Closing_x,std,4.503886622205666e-16,0.0,0.13037295763562912,0.3322193693375435
EM Last $ Exposure @ Closing_x,min,0.8415384615384612,1.0,0.37,0.02
EM Last $ Exposure @ Closing_x,25%,0.8415384615384612,1.0,0.695,0.48
EM Last $ Exposure @ Closing_x,50%,0.8415384615384612,1.0,0.82,0.65
EM Last $ Exposure @ Closing_x,75%,0.8415384615384612,1.0,0.84,0.87
EM Last $ Exposure @ Closing_x,max,0.8415384615384612,1.0,0.96,1.0
Gross Return Multiple,count,36.0,47.0,42.0,17.0
Gross Return Multiple,unique,,,,
Gross Return Multiple,top,,,,
Gross Return Multiple,freq,,,,
Gross Return Multiple,mean,0.3023096707818931,0.19425531914893618,0.3938095238095238,0.5235294117647059
Gross Return Multiple,std,0.07436092917516345,0.47526077363929575,0.5655946681923129,0.5749993606134552
Gross Return Multiple,min,0.0,0.0,0.0,0.0
Gross Return Multiple,25%,0.32009259259259265,0.0,0.0,0.0
Gross Return Multiple,50%,0.32009259259259265,0.0,0.0,0.0
Gross Return Multiple,75%,0.32009259259259265,0.0,1.135,1.08
Gross Return Multiple,max,0.32009259259259265,1.95,1.35,1.26
eFront Dist Freq,count,36,47,42,17
eFront Dist Freq,unique,3,2,2,1
eFront Dist Freq,top,Unknown,Quarter,Month,Month
eFront Dist Freq,freq,34,42,32,17
eFront Dist Freq,mean,,,,
eFront Dist Freq,std,,,,
eFront Dist Freq,min,,,,
eFront Dist Freq,25%,,,,
eFront Dist Freq,50%,,,,
eFront Dist Freq,75%,,,,
eFront Dist Freq,max,,,,
